"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2015";"2016";"2017";"2018";"2019";"2020" 
"07110910 Almindelig virksomhed "; 26,5; 26,1; 25,8; 25,3; 24,6; 24,1
"07110995 Tilskudsfinansieret forskningsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071170 Reserve til udf. af statslige arb.pl. "; 0,0; 400,0; 0,0; 0,0; 0,0; 0,0
"07117010 Udflytning af statslige arbejdspladser "; 0,0; 400,0; 0,0; 0,0; 0,0; 0,0
"071179 Reserver og budgetregulering "; 0,0; 6,7; 6,2; 5,9; 5,7; 5,5
"07117945 Reserver "; 0,0; 6,7; 6,2; 5,9; 5,7; 5,5
"0712 Digitalisering "; 378,3; 367,8; 429,7; 340,3; 336,4; 322,1
"071201 Digitaliseringsstyrelsen "; 150,3; 143,1; 164,2; 161,2; 157,3; 153,9
"07120110 Almindelig virksomhed "; 136,1; 143,1; 164,3; 161,2; 157,4; 154,0
"07120130 NemKonto til private udbetalere "; 0,1; 0,0; -0,1; 0,0; -0,1; -0,1
"07120152 It-sikkerhed "; 14,1; 0,0; 0,0; 0,0; 0,0; 0,0
"07120197 Tilskudsfinansieret aktivitet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071202 Fællesoffentlige initiativer "; 172,9; 167,1; 230,5; 148,5; 148,5; 137,6
"07120210 Drift af fællesoffentlig digitalisering "; 140,5; 135,5; 136,5; 136,4; 136,4; 136,4
"07120230 Grunddataprogrammmet "; 11,1; 18,5; 17,1; 12,1; 12,1; 1,2
"07120240 Udvikling af fællesoffentlig digitalisering "; 21,3; 13,1; 9,7; 0,0; 0,0; 0,0
"07120250 Fællesoffentlig digitaliseringsstrategi "; 0,0; 0,0; 67,2; 0,0; 0,0; 0,0
"07120260 Telemedicin m.v. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071203 Tilskud til fællesoffentlig digitalisering "; 55,1; 57,6; 35,0; 30,6; 30,6; 30,6
"07120310 FVT - Administration "; 8,6; 8,5; 0,0; 0,0; 0,0; 0,0
"07120320 FVT - Tilskud til projekter "; 28,2; 35,8; 0,0; 0,0; 0,0; 0,0
"07120330 FVT - Initiativer "; 18,4; 13,3; 4,4; 0,0; 0,0; 0,0
"07120340 Fælleskommunal dig.strategi - tilskud "; 0,0; 0,0; 30,6; 30,6; 30,6; 30,6
"0713 Administration "; 27,7; 27,2; 6,2; 0,0; 0,0; 0,0
"071301 Statens Administration "; 27,7; 27,3; 6,2; 0,0; 0,0; 0,0
"07130110 Almindelig virksomhed "; 27,7; 27,3; 6,2; 0,0; 0,0; 0,0
"071341 Renteindtægter mv. "; 0,0; -0,1; 0,0; 0,0; 0,0; 0,0
"07134130 Renteindtægter, Statens Administration "; 0,0; -0,1; 0,0; 0,0; 0,0; 0,0
"0714 Modernisering af den offentlige sektor "; 1034,1; 1081,0; 1128,3; 1137,7; 1126,0; 1132,2
"071401 Moderniseringsstyrelsen "; 164,7; 188,9; 192,0; 197,1; 177,8; 166,5
"07140110 Almindelig virksomhed "; 152,9; 175,4; 180,9; 186,0; 166,7; 163,4
"07140120 Sekretariat for statens samarbejdsudvalg "; 1,5; 2,0; 2,0; 2,0; 2,0; 2,0
"07140130 Statens tjenesterejseforsikring "; 1,3; 1,5; 1,2; 1,2; 1,2; 1,2
"07140140 Bod "; -0,1; -0,1; -0,1; -0,1; -0,1; -0,1
"07140150 Center for offentlig innovation "; 9,1; 10,1; 8,0; 8,0; 8,0; 0,0
"07140190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071404 Ledelsespolitiske initiativer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07140440 Videncenter for velfærdsledelse "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071405 Implementerings- og systemudviklingspuljen "; 27,5; 27,2; 37,2; 34,9; 34,3; 33,6
"07140510 Almindelig virksomhed "; 27,5; 27,2; 33,2; 31,6; 31,0; 30,3
"07140520 Reserve vedr. opgaver overført til UDK "; 0,0; 0,0; 4,0; 3,3; 3,3; 3,3
"071407 Vederlag mv. til ministre "; 20,4; 31,2; 31,7; 31,7; 31,7; 31,7
"07140710 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07140720 Vederlag mv. til ministre "; 11,7; 15,6; 15,9; 15,9; 15,9; 15,9
"07140730 Eftervederlag til tidligere ministre "; 8,6; 15,6; 15,8; 15,8; 15,8; 15,8
"071411 Kompetencesekretariatet "; 14,9; 18,4; 18,6; 18,5; 18,5; 18,5
"07141110 Almindelig virksomhed "; 14,9; 18,4; 18,6; 18,5; 18,5; 18,5
"071415 Kompetencefonden "; 33,3; 33,0; 32,8; 32,8; 32,8; 32,8
"07141510 Kompetencefonden "; 33,3; 33,0; 32,8; 32,8; 32,8; 32,8
"071416 Initiativer vedr. kompetenceudvikling "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07141695 Tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071418 Fond til udvikling af statens arbejdspladser "; 27,2; 24,7; 24,6; 24,6; 24,6; 24,6
"07141810 Fond til udvikling af statens arbejdspladser "; 30,1; 24,7; 24,6; 24,6; 24,6; 24,6
"07141820 Fælles kompetenceudvikling "; -1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07141830 Decentral kompetenceudvikling "; -2,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071419 Andre personalemæssige udgifter v udflytning "; 0,0; 0,0; 9,0; 6,0; 0,0; 0,0
"07141910 Personalemæssige udgifter ved Udflytning "; 0,0; 0,0; 9,0; 6,0; 0,0; 0,0
"071431 Europa-Parlamentet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07143110 Vederlag til Europa-Parlamentsmedlemmer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071435 Lønforskud "; 0,0; 0,1; 0,0; 0,0; 0,0; 0,0
"07143510 Lønforskud til tjenestemænd "; 0,0; 0,1; 0,0; 0,0; 0,0; 0,0
"071438 Fleksjobordning i staten mv. "; 6,5; 0,0; 0,0; 0,0; 0,0; 0,0
"07143810 Fleksjobordning i staten mv. "; -538,9; -559,5; -554,5; -549,1; -549,9; -556,7
"07143820 Fleksjob i staten vedr. ansatte efter 1.jan13"; 66,0; 99,8; 139,4; 175,4; 213,4; 253,6
"07143830 Fleksjob i staten vedr. ansatte før1.jan13 "; 479,4; 459,7; 415,1; 373,7; 336,5; 303,1
"071439 Barselsfonden "; 368,2; 406,7; 420,5; 430,2; 444,4; 462,6
"07143910 Barselsfonden "; 368,2; 406,7; 420,5; 430,2; 444,4; 462,6
"071440 Afdrag på lån under bestyrelse af MODST "; 0,0; -0,1; -0,1; -0,1; -0,1; -0,1
"07144010 Afdrag og indfrielser "; 0,0; -0,1; -0,1; -0,1; -0,1; -0,1
"071441 Afskrivninger af uerholdelige beløb "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07144110 Afskrivninger af uerholdelige beløb "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071442 Diverse indtægter mv. "; -86,1; -74,6; -78,4; -78,4; -78,4; -78,4
"07144210 Overtagne aktiver vedr. arvingsløse kapitaler"; -86,1; -74,5; -78,3; -78,3; -78,3; -78,3
"07144220 Frigørelsesafgift vedr. arbejderboliger "; 0,0; -0,1; -0,1; -0,1; -0,1; -0,1
"07144230 Ventekonto for NemKonto "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071443 Regulering vedr. Udlodningsloven "; 407,9; 425,5; 440,4; 440,4; 440,4; 440,4
"07144310 Regulering vedr. Udlodningsloven "; 407,9; 425,5; 440,4; 440,4; 440,4; 440,4
"071444 Tilskud til modtagere i hht Udlodningsloven "; 49,6; 0,0; 0,0; 0,0; 0,0; 0,0
"07144410 Tilskud til modtagere i hht Udlodningsloven "; 49,6; 0,0; 0,0; 0,0; 0,0; 0,0
"0715 Statslige selskaber "; 2451,9; -941,5; -2524,3; -2524,3; -2524,3; -2524,3
"071501 Udbytte fra statslige selskaber "; -929,7; -914,5; -2491,3; -2491,3; -2491,3; -2491,3
"07150110 Udbytte mv. "; -1026,7; -1011,5; -2592,3; -2592,3; -2592,3; -2592,3
"07150120 Overførsel til udlodning "; 97,0; 97,0; 101,0; 101,0; 101,0; 101,0
"071502 Salgsindtægter "; 23,1; 0,0; 0,0; 0,0; 0,0; 0,0
"07150250 Rådgivning i forbindelse med salg af statens "; 23,1; 0,0; 0,0; 0,0; 0,0; 0,0
"071505 Indt. fra Danske Spils overskud i Grønland "; -26,6; -27,0; -33,0; -33,0; -33,0; -33,0
"07150510 Indt. fra Danske Spils overskud fra Grønland "; -26,6; -27,0; -33,0; -33,0; -33,0; -33,0
"071506 Statens Ejendomssalg A/S "; 362,3; 0,0; 0,0; 0,0; 0,0; 0,0
"07150610 Statens Ejendomssalg A/S "; 362,3; 0,0; 0,0; 0,0; 0,0; 0,0
"071507 Indskud i fonde mv. "; 3000,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07150740 Kapitalindskud i Danmarks Grundforskningsfond"; 3000,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071508 Aktiedispositioner "; 22,7; 0,0; 0,0; 0,0; 0,0; 0,0
"07150850 Kapitaludvidelse i Vestjysk Bank A/S "; 0,7; 0,0; 0,0; 0,0; 0,0; 0,0
"07150870 Kapitalindskud i SKI A/S "; 22,0; 0,0; 0,0; 0,0; 0,0; 0,0
"0717 Statens It "; 10,1; 9,2; 0,0; 0,0; 0,0; 0,0
"071701 Statens It "; 10,1; 9,2; 0,0; 0,0; 0,0; 0,0
"07170110 Almindelig virksomhed "; 10,1; 9,2; 0,0; 0,0; 0,0; 0,0
"0718 Udlodningsloven "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071803 Fond til undervisning og folkeoplysning "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180330 Min. f. Børn og Undv. fond til undv. og f.opl"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180375 Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071809 Fond til humanitære og almennyttige formål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180950 De landsdækkende almennyttige organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180960 Støtte til andre almennyttige formål mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180975 Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071813 Administration af udlodning "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181370 udlodningsdatabasen og udlodningen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071814 Fond til idrætsorganisationer mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181420 Team Danmark "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181430 Danmarks Idrætsforbund "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181440 Danske Gymnastik- og idrætsforeninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181450 Dansk Firmaidrætsforbund "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181460 Lokale- og anlægsfonden "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181470 Hestevæddeløbssportens Finansieringsfond "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181471 Anti Doping Danmark "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181472 Sport Event Denmark "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181473 Idrættens Analyseinstitut "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181474 Andre idrætsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071815 Fond til kulturelle formål mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181520 Kulturministeriets fond til kulturelle formål"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181530 Landsdækkende oplysningsforbund m.fl. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181540 Ungdomsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181575 Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071816 Fond til forskningsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181630 Støtte til forskningsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181675 Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071817 Sundheds- og Ældreministeriet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181720 Sygdomsbekæmpende organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181730 Ældreorganisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181775 Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071818 Miljøministeriets fond til friluftsliv "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181820 Friluftsliv m.v. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071819 Social- og Indenrigsministeriet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181920 Pulje til handicaporg. og -foreninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181930 Ældreorganisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181940 Landsdækkende frivillige organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181950 Særlige sociale formål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181975 Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"073 Grønland og Færøerne "; 4368,7; 4373,4; 4416,6; 4416,6; 4416,6; 4416,6
"0731 Grønland "; 3718,6; 3723,3; 3766,4; 3766,4; 3766,4; 3766,4
"073101 Generelt tilskud til Grønlands Selvstyre "; 3678,6; 3682,3; 3722,4; 3722,4; 3722,4; 3722,4
"07310110 Generelt tilskud til Grønlands Selvstyre "; 3678,6; 3682,3; 3722,4; 3722,4; 3722,4; 3722,4
"073104 Tilskud til Grønlands Selvstyre spilleområdet "; 40,0; 41,0; 44,0; 44,0; 44,0; 44,0
"07310410 Tilskud til Grønlands Selvstyre spilleområdet"; 40,0; 41,0; 44,0; 44,0; 44,0; 44,0
"0732 Færøerne "; 650,1; 650,1; 650,2; 650,2; 650,2; 650,2
"073211 Generelt tilskud til Færøernes hjemmestyre "; 641,8; 641,8; 641,8; 641,8; 641,8; 641,8
"07321110 Generelt tilskud til Færøernes hjemmestyre "; 641,8; 641,8; 641,8; 641,8; 641,8; 641,8
"073212 Tilskud til Færøernes hjemmestyre "; 8,3; 8,3; 8,4; 8,4; 8,4; 8,4
"07321210 Tilskud til Færøernes hjemmestyre "; 8,3; 8,3; 8,4; 8,4; 8,4; 8,4
"075 Danmarks bidrag til EU's egne indtægter "; 16424,6; 15583,3; 16436,9; 16982,7; 17321,4; 17438,6
"0751 Danmarks bidrag til EU's egne indtægter "; 16424,6; 15583,3; 16436,9; 16982,7; 17321,4; 17438,6
"075101 Told "; -3141,5; -3159,6; -3801,3; -3903,3; -4006,8; -4112,9
"07510110 Told "; -3259,9; -3164,8; -3865,4; -3967,4; -4070,9; -4177,0
"07510111 Afskrivning, told "; 118,3; 5,2; 64,1; 64,1; 64,1; 64,1
"075103 Sukkerafgifter "; -33,3; -36,4; -35,7; 0,0; 0,0; 0,0
"07510310 Sukkerafgifter "; -33,3; -36,4; -35,7; 0,0; 0,0; 0,0
"075105 EU told og sukkerafgifter "; 2482,6; 3034,9; 3121,0; 3173,9; 3256,7; 3341,6
"07510510 told og sukkerafgifter "; 3318,0; 3201,0; 3901,2; 3967,4; 4070,9; 4177,0
"07510520 refusion for told og sukkerafgifter "; -835,4; -166,1; -780,2; -793,5; -814,2; -835,4
"075111 Bidrag til EU vedrørende moms og BNI "; 17116,9; 15744,4; 17152,9; 17712,1; 18071,5; 18209,9
"07511110 fælles beregningsgrundlag for moms "; 2196,2; 2325,7; 2372,3; 2433,5; 2497,0; 2562,1
"07511120 fælles beregningsgrundlag for BNI "; 14920,7; 13418,7; 14780,6; 15278,6; 15574,5; 15647,8
"08 Erhvervs- og Vækstministeriet "; -1662,6; 1001,5; 1260,4; 1179,2; 1159,3; 1110,0
"081 Fællesudgifter "; 162,1; 173,3; 188,6; 175,0; 163,9; 159,2
"0811 Centralstyrelsen "; 162,1; 173,3; 188,6; 175,0; 163,9; 159,2
"081101 Departementet "; 162,1; 171,4; 168,7; 166,2; 162,9; 159,2
"08110110 Almindelig virksomhed "; 159,1; 173,0; 172,8; 169,0; 165,7; 162,0
"08110130 Danske eksperter ved EU-Kommissionen "; 2,5; 2,2; 2,2; 2,2; 2,2; 2,2
"08110150 Midlertidig task force "; 0,0; -3,8; -1,3; 0,0; 0,0; 0,0
"08110160 Budgetregulering "; 0,0; 0,0; -5,0; -5,0; -5,0; -5,0
"08110190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08110197 Andre tilskudsfinansierede aktiviteter "; 0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"081179 Reserver og budgetregulering "; 0,0; 1,9; 19,9; 8,8; 1,0; 0,0
"08117910 Lønninger mv. "; 0,0; 3,1; 0,0; 0,0; 0,0; 0,0
"08117930 Bedre Balance "; 0,0; 0,0; 20,6; 9,6; 1,9; 1,1
"08117940 Reserver "; 0,0; -1,2; -0,7; -0,8; -0,9; -1,1
"082 Erhvervsregulering "; -3075,6; 168,6; 514,6; 481,2; 478,9; 454,6
"0821 Erhvervsreg. og forbrugerbeskyttelse "; 776,1; 546,7; 508,6; 475,7; 474,0; 450,0
"082101 Konkurrence- og Forbrugerstyrelsen "; 132,3; 147,6; 143,9; 141,3; 138,7; 136,1
"08210110 Almindelig virksomhed "; 106,2; 126,2; 123,0; 120,9; 118,3; 115,7
"08210111 Forsyningssekretariatet "; 4,7; 0,0; 0,0; 0,0; 0,0; 0,0
"08210112 Forbrugerombudsmandens sekretariat "; 21,4; 21,4; 20,9; 20,4; 20,4; 20,4
"08210113 Sekretariatsbetjening af Stormrådet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08210114 Administration for Energitilsynet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08210190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082102 Forskellige indtægter under KFST "; -17,4; -12,4; -12,3; -12,4; -12,5; -12,5
"08210210 Gebyrer vedr. klagenævn og betalingsmiddellov"; -1,5; -1,4; -1,2; -1,3; -1,4; -1,4
"08210211 Økonomiske sanktioner, udbudsreglerne "; -0,4; 0,0; 0,0; 0,0; 0,0; 0,0
"08210212 Gebyrindtægter vedr. fusionskontrol "; -15,4; -11,0; -11,1; -11,1; -11,1; -11,1
"082103 Tilskud til Dansk Varefakta Nævn "; 0,7; 0,7; 0,0; 0,0; 0,0; 0,0
"08210310 Dansk Varefakta Nævn "; 0,7; 0,7; 0,0; 0,0; 0,0; 0,0
"082104 Forbrugerrådet Tænk "; 24,6; 23,2; 17,7; 17,3; 16,9; 16,9
"08210410 Forbrugerrådet Tænk "; 18,3; 17,9; 17,7; 17,3; 16,9; 16,9
"08210420 Forbrugerrådet Tænk Kemi "; 6,3; 5,3; 0,0; 0,0; 0,0; 0,0
"082105 Stormflod og stormfald "; -20,0; -90,1; -91,1; -101,2; -80,5; -80,5
"08210520 Tilbagebetaling af statsgaranti "; -20,0; -90,1; -91,1; -101,2; -80,5; -80,5
"082110 Nævnenes Hus "; 117,7; 96,6; 94,8; 94,7; 93,1; 91,2
"08211010 Almindelig virksomhed "; 116,4; 96,6; 94,8; 94,7; 93,1; 91,2
"08211011 Disciplinær og klagenævnet "; -0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"08211012 Revisornævnet "; 0,6; 0,0; 0,0; 0,0; 0,0; 0,0
"08211013 Disciplinærnævnet for Ejendomsmæglere "; 0,8; 0,0; 0,0; 0,0; 0,0; 0,0
"082114 Forskellige indtægter og udgifter under NH "; -2,1; -1,0; -0,8; -0,8; -0,8; -0,8
"08211420 Klagenævnsgebyrer "; -1,1; -0,7; -0,5; -0,5; -0,5; -0,5
"08211430 Bøder udstedt af revisornævnet "; 0,2; 0,1; 0,1; 0,1; 0,1; 0,1
"08211440 Lov om omsætning af fast ejendom "; -1,2; -0,4; -0,4; -0,4; -0,4; -0,4
"082115 NMKN under Nævnenes Hus "; -0,6; -0,7; -0,7; -0,7; -0,7; -0,7
"08211510 Gebyrindtægter fra Natur- og Miljøklagenævnet"; -0,6; -0,7; -0,7; -0,7; -0,7; -0,7
"082120 Erhvervsstyrelsen "; 564,1; 395,7; 374,9; 355,3; 337,6; 318,1
"08212010 Almindelig virksomhed "; 525,9; 358,2; 360,1; 340,5; 327,8; 308,3
"08212012 Gebyrer på teleområdet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212013 Gebyrer på revisorområdet "; 4,2; 4,0; 0,0; 0,0; 0,0; 0,0
"08212014 Erhvervsdrivende fonde "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212015 Børspoliti "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212016 Næringsbasen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212017 Selskabsregistrering "; 25,2; 25,2; 25,5; 25,5; 25,5; 25,5
"08212018 Kollektive investeringsforeninger (UCITS) "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212020 Medlemsbidrag til int. organisation "; 2,9; 8,3; 4,3; 4,3; 4,3; 4,3
"08212021 Kvalitet i erhvervsreguleringen "; 0,6; 0,0; 0,0; 0,0; 0,0; 0,0
"08212022 Digitale forvaltningsløsninger "; 2,5; 0,0; 0,0; 0,0; 0,0; 0,0
"08212023 Administrative lettelser for iværksættere "; 0,7; 0,0; 0,0; 0,0; 0,0; 0,0
"08212024 Budgetregulering "; 0,0; 0,0; -15,0; -15,0; -20,0; -20,0
"08212090 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212095 Tilskudsfinansieret forskningsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212097 Andre tilskudsfinansierede aktiviteter "; 2,1; 0,0; 0,0; 0,0; 0,0; 0,0
"082125 Forskellige indtægter under Erhvervsstyrelsen "; -23,3; -17,4; -17,8; -17,8; -17,8; -17,8
"08212510 Afgifter i henhold til årsregnskabsloven "; -22,1; -17,2; -17,6; -17,6; -17,6; -17,6
"08212520 Bøder i forbindelse med ulovlige auktionærlån"; -1,2; -0,2; -0,2; -0,2; -0,2; -0,2
"082131 Vejnings- og målingsfonden "; 0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"08213110 Almindelig virksomhed "; 0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"082141 Patent- og Varemærkestyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08214110 Driftsbudget "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08214190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08214197 Tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082179 Finansielle sager hos Forbrugerombudsmanden "; 0,0; 4,5; 0,0; 0,0; 0,0; 0,0
"08217910 Reserve til finansielle sager "; 0,0; 4,5; 0,0; 0,0; 0,0; 0,0
"0822 Erhvervs- og sikkerhedsforhold "; 22,5; 22,4; 22,2; 21,7; 21,1; 20,8
"082241 Sikkerhedsstyrelsen "; 15,3; 14,7; 14,6; 14,2; 13,7; 13,4
"08224110 Alm. virksomhed "; 19,3; 14,5; 14,6; 14,2; 13,7; 13,4
"08224120 Elsikkerhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08224130 Gassikkerhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08224170 Eleftersynsordningen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08224175 Huseftersynsordningen "; -4,0; 0,2; 0,0; 0,0; 0,0; 0,0
"08224177 E-cigaretter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08224178 Tobaksvarer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08224180 Autorisationsordningen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08224190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082242 Tilskud til Ædelmetalkontrollen mv. "; 3,0; 3,0; 3,0; 3,0; 3,0; 3,0
"08224210 Tilskud til Ædelmetalkontrollen "; 3,0; 3,0; 3,0; 3,0; 3,0; 3,0
"082243 Akkreditering "; 4,8; 4,8; 4,7; 4,6; 4,5; 4,5
"08224310 Akkreditering "; 4,8; 4,8; 4,7; 4,6; 4,5; 4,5
"082244 Bøder vedr. huseftersyn "; 0,0; -0,1; -0,1; -0,1; -0,1; -0,1
"08224410 Bøder vedr. huseftersyn "; 0,0; -0,1; -0,1; -0,1; -0,1; -0,1
"082245 Fyrværkerisikkerhed "; -0,6; 0,0; 0,0; 0,0; 0,0; 0,0
"08224520 Konsulentrådgivning af fyrværkerivirksomheder"; -0,6; 0,0; 0,0; 0,0; 0,0; 0,0
"0823 Finansielt tilsyn "; -3574,2; -16,7; -16,2; -16,2; -16,2; -16,2
"082301 Finanstilsynet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08230110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082302 Forskellige indtægter under Finanstilsynet "; -0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"08230210 Bøder vedr. lov om finansiel virksomhed "; -0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"082303 Indt. vedr. risikopræmie for terrorforsikring "; -16,3; -16,7; -16,2; -16,2; -16,2; -16,2
"08230320 Indt. vedr. risikopræmie for terrorforsikring"; -16,3; -16,7; -16,2; -16,2; -16,2; -16,2
"082304 Krisehåndteringsopgaver i Finansiel Stabilite "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08230410 Restrukturering mv. i Finansiel Stabilitet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082305 Tab vedr. Kreditpakken samt Roskilde Bank "; 1746,9; 0,0; 0,0; 0,0; 0,0; 0,0
"08230525 Tab på kapitalindskud "; -34,1; 0,0; 0,0; 0,0; 0,0; 0,0
"08230530 Tabsgaranti vedr. Roskilde Bank A/S "; 1781,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082306 Indtægter fra Bankpakken og Kreditpakken "; -5304,4; 0,0; 0,0; 0,0; 0,0; 0,0
"08230610 Udbytte fra Finansiel Stabilitet "; -5304,4; 0,0; 0,0; 0,0; 0,0; 0,0
"0825 Nordsøfonden mv. "; -300,0; -383,8; 0,0; 0,0; 0,0; 0,0
"082503 Udbytte fra Nordsøfonden "; -300,0; -383,8; 0,0; 0,0; 0,0; 0,0
"08250310 Udbytte "; -300,0; -383,8; 0,0; 0,0; 0,0; 0,0
"083 Erhvervsfremme "; 951,9; 397,5; 297,3; 269,4; 267,7; 252,2
"0831 Fællesudgifter "; 28,4; 25,5; 25,7; 25,7; 25,7; 25,7
"083105 Tilskud til standardisering mv. "; 28,4; 25,5; 25,7; 25,7; 25,7; 25,7
"08310510 Tilskud til standardisering mv. "; 28,4; 25,5; 25,7; 25,7; 25,7; 25,7
